ticker,entry_date,weekly_expiry,monthly_expiry,slippage_pct,fixed_cost_per_cycle,gross_pnl,net_pnl,raw_close_pnl_no_slippage
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.0,0.0,-2655.0000000000036,-2655.0000000000036,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.0,80.0,-2655.0000000000036,-2735.0000000000036,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.0,160.0,-2655.0000000000036,-2815.0000000000036,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.0,240.0,-2655.0000000000036,-2895.0000000000036,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.0,320.0,-2655.0000000000036,-2975.0000000000036,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.25,0.0,-3067.0874999999905,-3067.0874999999905,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.25,80.0,-3067.0874999999905,-3147.0874999999905,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.25,160.0,-3067.0874999999905,-3227.0874999999905,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.25,240.0,-3067.0874999999905,-3307.0874999999905,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.25,320.0,-3067.0874999999905,-3387.0874999999905,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.5,0.0,-3479.1749999999956,-3479.1749999999956,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.5,80.0,-3479.1749999999956,-3559.1749999999956,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.5,160.0,-3479.1749999999956,-3639.1749999999956,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.5,240.0,-3479.1749999999956,-3719.1749999999956,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.5,320.0,-3479.1749999999956,-3799.1749999999956,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.75,0.0,-3891.2625000000044,-3891.2625000000044,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.75,80.0,-3891.2625000000044,-3971.2625000000044,-2655.0000000000036
NIFTY,2025-10-01,2025-10-07,2025-10-28,0.75,160.0,-3891.2625000000044,-4051.2625000000044,-2655.0000000000036
