ticker,slippage_pct,fixed_cost_per_cycle,trades,total_net_pnl,roc_pct,win_rate_pct,expectancy,max_drawdown
NIFTY,0.0,0.0,33,-16903.999999999985,-11.269333333333325,48.484848484848484,-512.2424242424238,-26751.75
NIFTY,0.0,80.0,33,-19543.999999999985,-13.029333333333323,48.484848484848484,-592.2424242424238,-27471.75
NIFTY,0.0,160.0,33,-22183.999999999985,-14.789333333333325,48.484848484848484,-672.2424242424238,-28191.75
NIFTY,0.0,240.0,33,-24823.999999999985,-16.549333333333323,48.484848484848484,-752.2424242424238,-28911.75
NIFTY,0.0,320.0,33,-27463.999999999985,-18.309333333333324,45.45454545454545,-832.2424242424238,-29631.75
NIFTY,0.25,0.0,33,-28223.29049999976,-18.81552699999984,45.45454545454545,-855.2512272727199,-29797.01612499979
NIFTY,0.25,80.0,33,-30863.29049999976,-20.575526999999838,45.45454545454545,-935.2512272727199,-32197.01612499979
NIFTY,0.25,160.0,33,-33503.29049999976,-22.335526999999843,42.42424242424242,-1015.25122727272,-34597.01612499979
NIFTY,0.25,240.0,33,-36143.29049999976,-24.09552699999984,39.39393939393939,-1095.2512272727201,-36997.01612499979
NIFTY,0.25,320.0,33,-38783.29049999976,-25.85552699999984,39.39393939393939,-1175.2512272727201,-39397.01612499979
NIFTY,0.5,0.0,33,-39542.58099999978,-26.36172066666652,39.39393939393939,-1198.2600303030235,-40057.282249999815
NIFTY,0.5,80.0,33,-42182.58099999978,-28.121720666666523,36.36363636363637,-1278.2600303030235,-42457.282249999815
NIFTY,0.5,160.0,33,-44822.58099999977,-29.881720666666517,36.36363636363637,-1358.2600303030233,-44857.282249999815
NIFTY,0.5,240.0,33,-47462.58099999977,-31.64172066666652,33.33333333333333,-1438.2600303030233,-47257.282249999815
NIFTY,0.5,320.0,33,-50102.58099999977,-33.40172066666652,33.33333333333333,-1518.2600303030233,-49657.282249999815
NIFTY,0.75,0.0,33,-50861.87149999998,-33.90791433333332,33.33333333333333,-1541.2688333333326,-50317.54837499997
NIFTY,0.75,80.0,33,-53501.87149999998,-35.667914333333314,33.33333333333333,-1621.2688333333326,-52717.54837499997
NIFTY,0.75,160.0,33,-56141.87149999998,-37.42791433333332,33.33333333333333,-1701.2688333333326,-55117.54837499997
NIFTY,0.75,240.0,33,-58781.87149999998,-39.18791433333332,27.27272727272727,-1781.2688333333326,-57517.54837499997
NIFTY,0.75,320.0,33,-61421.87149999998,-40.947914333333316,27.27272727272727,-1861.2688333333326,-59917.54837499997
NIFTY,1.0,0.0,33,-62181.16200000003,-41.45410800000002,27.27272727272727,-1884.2776363636374,-60577.81450000001
NIFTY,1.0,80.0,33,-64821.16200000003,-43.214108000000024,27.27272727272727,-1964.2776363636374,-62977.81450000001
NIFTY,1.0,160.0,33,-67461.16200000003,-44.974108000000015,27.27272727272727,-2044.2776363636372,-65377.81450000001
NIFTY,1.0,240.0,33,-70101.16200000003,-46.73410800000002,27.27272727272727,-2124.277636363637,-67777.81450000001
NIFTY,1.0,320.0,33,-72741.16200000003,-48.49410800000002,24.242424242424242,-2204.277636363637,-70177.81450000001
SENSEX,0.0,0.0,28,-13599.200000000003,-9.066133333333335,46.42857142857143,-485.68571428571437,-28765.199999999997
SENSEX,0.0,80.0,28,-15839.200000000004,-10.559466666666669,46.42857142857143,-565.6857142857144,-30205.199999999983
SENSEX,0.0,160.0,28,-18079.2,-12.052800000000001,46.42857142857143,-645.6857142857143,-31645.199999999983
SENSEX,0.0,240.0,28,-20319.2,-13.546133333333335,35.714285714285715,-725.6857142857143,-33085.19999999998
SENSEX,0.0,320.0,28,-22559.2,-15.039466666666668,35.714285714285715,-805.6857142857143,-34525.19999999998
SENSEX,0.25,0.0,28,-21272.43199999987,-14.181621333333247,39.285714285714285,-759.7297142857096,-33365.761999999915
SENSEX,0.25,80.0,28,-23512.43199999987,-15.67495466666658,32.142857142857146,-839.7297142857096,-34885.761999999915
SENSEX,0.25,160.0,28,-25752.43199999987,-17.16828799999991,28.57142857142857,-919.7297142857096,-36405.761999999915
SENSEX,0.25,240.0,28,-27992.43199999987,-18.661621333333247,28.57142857142857,-999.7297142857096,-38031.61949999991
SENSEX,0.25,320.0,28,-30232.43199999987,-20.15495466666658,25.0,-1079.7297142857096,-39711.61949999991
SENSEX,0.5,0.0,28,-28945.663999999884,-19.297109333333257,28.57142857142857,-1033.7737142857102,-38557.0389999999
SENSEX,0.5,80.0,28,-31185.663999999884,-20.79044266666659,28.57142857142857,-1113.7737142857102,-40237.0389999999
SENSEX,0.5,160.0,28,-33425.66399999988,-22.283775999999918,25.0,-1193.77371428571,-41917.0389999999
SENSEX,0.5,240.0,28,-35665.66399999988,-23.777109333333254,25.0,-1273.77371428571,-43597.0389999999
SENSEX,0.5,320.0,28,-37905.66399999988,-25.270442666666586,21.428571428571427,-1353.77371428571,-45277.0389999999
SENSEX,0.75,0.0,28,-36618.89600000006,-24.412597333333373,25.0,-1307.8177142857164,-44122.45850000002
SENSEX,0.75,80.0,28,-38858.89600000006,-25.905930666666706,21.428571428571427,-1387.8177142857164,-45802.45850000002
SENSEX,0.75,160.0,28,-41098.89600000006,-27.39926400000004,21.428571428571427,-1467.8177142857164,-47482.45850000002
SENSEX,0.75,240.0,28,-43338.89600000006,-28.892597333333374,21.428571428571427,-1547.8177142857164,-49162.45850000002
SENSEX,0.75,320.0,28,-45578.89600000006,-30.385930666666706,21.428571428571427,-1627.8177142857164,-50842.45850000002
SENSEX,1.0,0.0,28,-44292.12800000003,-29.528085333333355,21.428571428571427,-1581.8617142857154,-49687.87800000001
SENSEX,1.0,80.0,28,-46532.12800000003,-31.02141866666669,21.428571428571427,-1661.8617142857154,-51367.87800000001
SENSEX,1.0,160.0,28,-48772.12800000003,-32.51475200000002,21.428571428571427,-1741.8617142857154,-53047.87800000001
SENSEX,1.0,240.0,28,-51012.12800000003,-34.008085333333355,21.428571428571427,-1821.8617142857154,-54727.87800000001
SENSEX,1.0,320.0,28,-53252.12800000003,-35.50141866666669,21.428571428571427,-1901.8617142857154,-56407.87800000001
