ticker,entry_date,weekly_expiry,monthly_expiry,leg4_itm_strikes,gross_pnl,fixed_cost,net_pnl
NIFTY,2025-10-01,2025-10-07,2025-10-28,2,3187.7812500000146,160.0,3027.7812500000146
NIFTY,2025-10-08,2025-10-14,2025-10-28,2,-5265.543749999993,160.0,-5425.543749999993
NIFTY,2025-10-15,2025-10-20,2025-10-28,2,1260.1500000000087,160.0,1100.1500000000087
NIFTY,2025-10-20,2025-10-28,2025-10-28,2,-3928.4812499999907,160.0,-4088.4812499999907
NIFTY,2025-10-29,2025-11-04,2025-11-25,2,-6164.493749999987,160.0,-6324.493749999987
NIFTY,2025-11-04,2025-11-11,2025-11-25,2,-8084.71874999999,160.0,-8244.718749999989
NIFTY,2025-11-12,2025-11-18,2025-11-25,2,2770.2000000000053,160.0,2610.2000000000053
NIFTY,2025-11-19,2025-11-25,2025-11-25,2,-5427.9374999999945,160.0,-5587.9374999999945
NIFTY,2025-11-26,2025-12-02,2025-12-30,2,-8327.86874999999,160.0,-8487.86874999999
NIFTY,2025-12-03,2025-12-09,2025-12-30,2,-6334.0687499999985,160.0,-6494.0687499999985
NIFTY,2025-12-10,2025-12-16,2025-12-30,2,-6119.864999999991,160.0,-6279.864999999991
NIFTY,2025-12-17,2025-12-23,2025-12-30,2,5192.831250000007,160.0,5032.831250000007
NIFTY,2025-12-24,2025-12-30,2025-12-30,2,-2444.774999999996,160.0,-2604.774999999996
NIFTY,2025-12-31,2026-01-06,2026-01-27,2,3285.197500000004,160.0,3125.197500000004
NIFTY,2026-01-07,2026-01-13,2026-01-27,2,-2198.0367499999866,160.0,-2358.0367499999866
NIFTY,2026-01-14,2026-01-20,2026-01-27,2,-2338.3099999999904,160.0,-2498.3099999999904
NIFTY,2026-01-21,2026-01-27,2026-01-27,2,-4436.721249999995,160.0,-4596.721249999995
NIFTY,2026-01-28,2026-02-03,2026-02-24,2,4342.260000000002,160.0,4182.260000000002
NIFTY,2026-02-04,2026-02-10,2026-02-24,2,4534.757500000003,160.0,4374.757500000003
NIFTY,2026-02-11,2026-02-17,2026-02-24,2,-2680.469999999992,160.0,-2840.469999999992
NIFTY,2026-02-18,2026-02-24,2026-02-24,2,-2389.6112499999945,160.0,-2549.6112499999945
NIFTY,2026-02-25,2026-03-02,2026-03-30,2,-5596.92249999999,160.0,-5756.92249999999
NIFTY,2026-03-04,2026-03-10,2026-03-30,2,-8132.523749999986,160.0,-8292.523749999986
NIFTY,2026-03-11,2026-03-17,2026-03-30,2,-3384.56625,160.0,-3544.56625
NIFTY,2026-03-18,2026-03-24,2026-03-30,2,-2684.6137499999822,160.0,-2844.6137499999822
NIFTY,2026-03-25,2026-03-30,2026-03-30,2,-4040.448749999985,160.0,-4200.448749999985
NIFTY,2026-04-01,2026-04-07,2026-04-28,2,6926.36750000002,160.0,6766.36750000002
NIFTY,2026-04-08,2026-04-13,2026-04-28,2,-4683.607499999994,160.0,-4843.607499999994
NIFTY,2026-04-15,2026-04-21,2026-04-28,2,4431.537500000015,160.0,4271.537500000015
NIFTY,2026-04-22,2026-04-28,2026-04-28,2,-3437.4437499999913,160.0,-3597.4437499999913
NIFTY,2026-04-29,2026-05-05,2026-05-26,2,-6427.736249999984,160.0,-6587.736249999984
NIFTY,2026-05-06,2026-05-12,2026-05-26,2,-5489.981249999993,160.0,-5649.981249999993
NIFTY,2026-05-13,2026-05-19,2026-05-26,2,6357.276250000007,160.0,6197.276250000007
NIFTY,2026-05-20,2026-05-26,2026-05-26,2,3358.257500000009,160.0,3198.257500000009
NIFTY,2026-05-27,2026-06-02,2026-06-30,2,-11323.828749999991,160.0,-11483.828749999991
