ticker,entry_date,weekly_expiry,monthly_expiry,leg4_itm_strikes,gross_pnl,fixed_cost,net_pnl
SENSEX,2025-10-03,2025-10-09,2025-10-30,2,5175.944999999998,160.0,5015.944999999998
SENSEX,2025-10-17,2025-10-23,2025-10-30,2,15.565000000002328,160.0,-144.43499999999767
SENSEX,2025-10-24,2025-10-30,2025-10-30,2,-2391.244999999999,160.0,-2551.244999999999
SENSEX,2025-10-31,2025-11-06,2025-11-27,2,-4562.559999999998,160.0,-4722.559999999998
SENSEX,2025-11-07,2025-11-13,2025-11-27,2,1617.5650000000096,160.0,1457.5650000000096
SENSEX,2025-11-14,2025-11-20,2025-11-27,2,1339.5350000000035,160.0,1179.5350000000035
SENSEX,2025-11-21,2025-11-27,2025-11-27,2,-1617.8799999999965,160.0,-1777.8799999999965
SENSEX,2025-11-28,2025-12-04,2025-12-24,2,-2337.2349999999933,160.0,-2497.2349999999933
SENSEX,2025-12-05,2025-12-11,2025-12-24,2,-2007.054,160.0,-2167.054
SENSEX,2025-12-12,2025-12-18,2025-12-24,2,-2215.5799999999945,160.0,-2375.5799999999945
SENSEX,2025-12-19,2025-12-24,2025-12-24,2,2076.2559999999994,160.0,1916.2559999999994
SENSEX,2025-12-26,2026-01-01,2026-01-29,2,-3871.034999999997,160.0,-4031.034999999997
SENSEX,2026-01-02,2026-01-08,2026-01-29,2,-5517.494999999995,160.0,-5677.494999999995
SENSEX,2026-01-16,2026-01-22,2026-01-29,2,-4630.775,160.0,-4790.775
SENSEX,2026-01-23,2026-01-29,2026-01-29,2,-2188.0099999999975,160.0,-2348.0099999999975
SENSEX,2026-02-06,2026-02-12,2026-02-26,2,4174.510000000003,160.0,4014.510000000003
SENSEX,2026-02-13,2026-02-19,2026-02-26,2,-709.1149999999952,160.0,-869.1149999999952
SENSEX,2026-02-20,2026-02-26,2026-02-26,2,-2861.9149999999972,160.0,-3021.9149999999972
SENSEX,2026-02-27,2026-03-05,2026-03-25,2,-10077.874999999989,160.0,-10237.874999999989
SENSEX,2026-03-06,2026-03-12,2026-03-25,2,-16790.559999999994,160.0,-16950.559999999994
SENSEX,2026-03-13,2026-03-19,2026-03-25,2,-874.9899999999943,160.0,-1034.9899999999943
SENSEX,2026-03-20,2026-03-25,2026-03-25,2,-429.84500000000116,160.0,-589.8450000000012
SENSEX,2026-04-10,2026-04-16,2026-04-30,2,6838.265000000005,160.0,6678.265000000005
SENSEX,2026-04-17,2026-04-23,2026-04-30,2,-596.5649999999932,160.0,-756.5649999999932
SENSEX,2026-04-24,2026-04-30,2026-04-30,2,-2150.3499999999985,160.0,-2310.3499999999985
SENSEX,2026-05-08,2026-05-14,2026-05-27,2,-5533.919999999991,160.0,-5693.919999999991
SENSEX,2026-05-15,2026-05-21,2026-05-27,2,227.1300000000083,160.0,67.1300000000083
SENSEX,2026-05-22,2026-05-27,2026-05-27,2,1083.3400000000029,160.0,923.3400000000029
