ticker,entry_date,weekly_expiry,monthly_expiry,spot,atm_strike,gross_pnl,fixed_cost,net_pnl
SENSEX,2025-10-03,2025-10-09,2025-10-30,80787.08,80800.0,-4544.794999999987,160.0,-4704.794999999987
SENSEX,2025-10-17,2025-10-23,2025-10-30,83531.01,83500.0,1997.7200000000064,160.0,1837.7200000000064
SENSEX,2025-10-24,2025-10-30,2025-10-30,84501.84,84500.0,1586.900000000005,160.0,1426.900000000005
SENSEX,2025-10-31,2025-11-06,2025-11-27,84586.64,84600.0,3281.270000000008,160.0,3121.270000000008
SENSEX,2025-11-07,2025-11-13,2025-11-27,82731.84,82700.0,-3040.249999999989,160.0,-3200.249999999989
SENSEX,2025-11-14,2025-11-20,2025-11-27,84293.16,84300.0,-1036.6449999999911,160.0,-1196.6449999999911
SENSEX,2025-11-21,2025-11-27,2025-11-27,85523.83,85500.0,-495.2899999999963,160.0,-655.2899999999963
SENSEX,2025-11-28,2025-12-04,2025-12-24,85784.38,85800.0,-62.015000000003056,160.0,-222.01500000000303
SENSEX,2025-12-05,2025-12-11,2025-12-24,85244.76,85200.0,578.4450000000052,160.0,418.4450000000052
SENSEX,2025-12-12,2025-12-18,2025-12-24,85234.93,85200.0,48.05999999999949,160.0,-111.94000000000052
SENSEX,2025-12-19,2025-12-24,2025-12-24,84995.89,85000.0,-698.033999999996,160.0,-858.033999999996
SENSEX,2025-12-26,2026-01-01,2026-01-29,85344.02,85300.0,6155.945000000002,160.0,5995.945000000002
SENSEX,2026-01-02,2026-01-08,2026-01-29,85368.57,85400.0,1795.885000000004,160.0,1635.885000000004
SENSEX,2026-01-16,2026-01-22,2026-01-29,83643.94,83600.0,2541.6900000000005,160.0,2381.6900000000005
SENSEX,2026-01-23,2026-01-29,2026-01-29,82404.22,82400.0,-95.53499999999713,160.0,-255.53499999999715
SENSEX,2026-02-06,2026-02-12,2026-02-26,83101.87,83100.0,502.9950000000072,160.0,342.9950000000072
SENSEX,2026-02-13,2026-02-19,2026-02-26,82921.27,82900.0,-1755.9199999999937,160.0,-1915.9199999999937
SENSEX,2026-02-20,2026-02-26,2026-02-26,82348.87,82300.0,2244.685000000003,160.0,2084.685000000003
SENSEX,2026-02-27,2026-03-05,2026-03-25,81897.18,81900.0,6594.510000000008,160.0,6434.510000000008
SENSEX,2026-03-06,2026-03-12,2026-03-25,79669.59,79700.0,-1558.339999999975,160.0,-1718.339999999975
SENSEX,2026-03-13,2026-03-19,2026-03-25,75512.82,75500.0,-1959.8749999999852,160.0,-2119.874999999985
SENSEX,2026-03-20,2026-03-25,2026-03-25,75083.46,75100.0,-330.8399999999983,160.0,-490.8399999999983
SENSEX,2026-04-10,2026-04-16,2026-04-30,77154.97,77200.0,-8876.634999999993,160.0,-9036.634999999991
SENSEX,2026-04-17,2026-04-23,2026-04-30,78084.96,78100.0,-2269.8149999999896,160.0,-2429.8149999999896
SENSEX,2026-04-24,2026-04-30,2026-04-30,77172.87,77200.0,-589.2699999999968,160.0,-749.2699999999968
SENSEX,2026-05-08,2026-05-14,2026-05-27,77525.32,77500.0,1257.8450000000194,160.0,1097.8450000000194
SENSEX,2026-05-15,2026-05-21,2026-05-27,75616.91,75600.0,-2465.944999999989,160.0,-2625.944999999989
SENSEX,2026-05-22,2026-05-27,2026-05-27,75546.11,75500.0,-554.0099999999939,160.0,-714.0099999999939
