ticker,entry_date,weekly_expiry,monthly_expiry,raw_gross_pnl,slippage_pnl_per_1pct
NIFTY,2025-10-01,2025-10-07,2025-10-28,2655.0000000000036,-164835.0
NIFTY,2025-10-08,2025-10-14,2025-10-28,3776.250000000001,-100916.25
NIFTY,2025-10-15,2025-10-20,2025-10-28,2201.25,-159851.25
NIFTY,2025-10-20,2025-10-28,2025-10-28,26.25000000000091,-77591.25
NIFTY,2025-10-29,2025-11-04,2025-11-25,3045.0,-166035.0
NIFTY,2025-11-04,2025-11-11,2025-11-25,6884.999999999998,-124177.5
NIFTY,2025-11-12,2025-11-18,2025-11-25,-3641.25,-103893.75
NIFTY,2025-11-19,2025-11-25,2025-11-25,5550.000000000002,-69195.0
NIFTY,2025-12-03,2025-12-09,2025-12-30,4795.5,-129670.5
NIFTY,2025-12-10,2025-12-16,2025-12-30,4113.749999999995,-107081.25
NIFTY,2025-12-17,2025-12-23,2025-12-30,-2445.000000000002,-109290.0
NIFTY,2025-12-24,2025-12-30,2025-12-30,-1162.5,-86857.5
NIFTY,2025-12-31,2026-01-06,2026-01-27,-2941.9000000000037,-104548.6
NIFTY,2026-01-07,2026-01-13,2026-01-27,-626.600000000004,-115585.6
NIFTY,2026-01-14,2026-01-20,2026-01-27,-1173.2499999999982,-124738.25
NIFTY,2026-01-21,2026-01-27,2026-01-27,672.7499999999982,-65718.25
NIFTY,2026-01-28,2026-02-03,2026-02-24,-2843.7499999999964,-163998.25
NIFTY,2026-02-04,2026-02-10,2026-02-24,-2671.4999999999973,-113990.5
NIFTY,2026-02-11,2026-02-17,2026-02-24,123.49999999999818,-97812.0
NIFTY,2026-02-18,2026-02-24,2026-02-24,-841.7499999999982,-85900.75
NIFTY,2026-02-25,2026-03-02,2026-03-30,1098.4999999999964,-187687.5
NIFTY,2026-03-04,2026-03-10,2026-03-30,5755.749999999999,-184232.75
NIFTY,2026-03-11,2026-03-17,2026-03-30,279.5,-196599.0
NIFTY,2026-03-18,2026-03-24,2026-03-30,-1205.75,-199416.75
NIFTY,2026-03-25,2026-03-30,2026-03-30,-302.25,-204551.75
NIFTY,2026-04-01,2026-04-07,2026-04-28,-5658.2500000000055,-224578.25
NIFTY,2026-04-08,2026-04-13,2026-04-28,2375.7500000000036,-159519.75
NIFTY,2026-04-15,2026-04-21,2026-04-28,-2723.5,-148811.0
NIFTY,2026-04-22,2026-04-28,2026-04-28,-464.75000000000364,-135242.25
NIFTY,2026-04-29,2026-05-05,2026-05-26,4468.749999999998,-154163.75
NIFTY,2026-05-06,2026-05-12,2026-05-26,3071.25,-202452.25
NIFTY,2026-05-13,2026-05-19,2026-05-26,-4757.999999999998,-132600.0
NIFTY,2026-05-20,2026-05-26,2026-05-26,-529.7500000000036,-126174.75
SENSEX,2025-10-03,2025-10-09,2025-10-30,-3901.0,-128759.0
SENSEX,2025-10-17,2025-10-23,2025-10-30,2504.0000000000036,-101256.0
SENSEX,2025-10-24,2025-10-30,2025-10-30,1854.0,-53420.0
SENSEX,2025-10-31,2025-11-06,2025-11-27,3940.0,-131746.0
SENSEX,2025-11-07,2025-11-13,2025-11-27,-2314.0000000000036,-145250.0
SENSEX,2025-11-14,2025-11-20,2025-11-27,-435.00000000000364,-120329.0
SENSEX,2025-11-21,2025-11-27,2025-11-27,-210.0,-57058.0
SENSEX,2025-11-28,2025-12-04,2025-12-24,470.99999999999454,-106603.0
SENSEX,2025-12-05,2025-12-11,2025-12-24,1029.0,-90111.0
SENSEX,2025-12-12,2025-12-18,2025-12-24,460.0,-82388.0
SENSEX,2025-12-19,2025-12-24,2025-12-24,-422.79999999999836,-55046.8
SENSEX,2025-12-26,2026-01-01,2026-01-29,6637.0,-96211.0
SENSEX,2026-01-02,2026-01-08,2026-01-29,2354.999999999998,-111823.0
SENSEX,2026-01-16,2026-01-22,2026-01-29,3075.999999999998,-106862.0
SENSEX,2026-01-23,2026-01-29,2026-01-29,193.00000000000182,-57707.0
SENSEX,2026-02-06,2026-02-12,2026-02-26,1047.0,-108801.0
SENSEX,2026-02-13,2026-02-19,2026-02-26,-1325.999999999999,-85984.0
SENSEX,2026-02-20,2026-02-26,2026-02-26,2525.000000000002,-56063.0
SENSEX,2026-02-27,2026-03-05,2026-03-25,7382.0,-157498.0
SENSEX,2026-03-06,2026-03-12,2026-03-25,-325.9999999999927,-246468.0
SENSEX,2026-03-13,2026-03-19,2026-03-25,-1117.0000000000036,-168575.0
SENSEX,2026-03-20,2026-03-25,2026-03-25,103.99999999999818,-86968.0
SENSEX,2026-04-10,2026-04-16,2026-04-30,-8137.000000000003,-147927.0
SENSEX,2026-04-17,2026-04-23,2026-04-30,-1661.0,-121763.0
SENSEX,2026-04-24,2026-04-30,2026-04-30,-186.0,-80654.0
SENSEX,2026-05-08,2026-05-14,2026-05-27,2149.0000000000036,-178231.0
SENSEX,2026-05-15,2026-05-21,2026-05-27,-1888.9999999999982,-115389.0
SENSEX,2026-05-22,2026-05-27,2026-05-27,-201.999999999995,-70402.0
